REGI?N,PROVINCIA,DISTRITO,CODIGO DEL RECURSO,NOMBRE DEL RECURSO,CATEGOR?A,TIPO DE CATEGOR?A,SUB TIPO CATEGOR?A,URL,LATITUD,LONGITUD,FECHA_DE_CORTE
Piura,Huancabamba,EL CARMEN DE LA FRONTERA,11442,Catarata La Golondrina,1. SITIOS NATURALES,j. Ca?das de agua,Cataratas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=11442,-79.460652,-5.12188,20241201
Huanuco,Leoncio Prado,JOS? CRESPO Y CASTILLO,13020,Malec?n Tur?stico Puerto La Colpa,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Malecones,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=13020,-75.953,-9.3713,20241201
Ancash,Carhuaz,SHILLA,8039,Quebrada Ulta,1. SITIOS NATURALES,d. Quebradas,Quebradas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=8039,-77.53734444,-9.130627778,20241201
Pasco,Oxapampa,POZUZO,11607,Sendero Ecotur?stico Emperador Guillermo I - Pozuzo,1. SITIOS NATURALES,?. Zonas paisaj?sticas,Lugares pintorescos de flora y fauna,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=11607,-75.549224,-10.06803917,20241201
Apurimac,Andahuaylas,TALAVERA,8827,Templo Santiago Ap?stol De Talavera,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Templo,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=8827,-73.428373,-13.653768,20241201
Pasco,Daniel Alcides Carrion,CHACAYAN,11251,Parroquia Esp?ritu Santo De Chacay?n,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Otros,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=11251,-76.43734498,-10.43408693,20241201
Lima,Cajatambo,CAJATAMBO,10826,Ba?os Termales De Gu?oc,1. SITIOS NATURALES,k. Agua termo-mineral,Otros,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=10826,-76.85791,-10.4198,20241201
Lima,Huarochiri,SAN DAMIAN,11003,Laguna Yanascocha,1. SITIOS NATURALES,g. Cuerpo de Agua,Lagunas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=11003,-76.35127,-12.01703,20241201
Puno,Chucuito,POMATA,12221,Mirador Jaquepata,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Miradores,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=12221,-69.29130971,-16.27469626,20241201
Cusco,Acomayo,ACOS,12571,Sitio Arqueol?gico De Corma Rakay,2. MANIFESTACIONES CULTURALES,Sitios Arqueol?gicos,Zonas arqueol?gicas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=12571,-71.777572,-13.883768,20241201
Lima,Yauyos,HUANCAYA,12350,Mirador De Huallhua De Huancaya,1. SITIOS NATURALES,?. Zonas paisaj?sticas,Miradores naturales,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=12350,-75.79542595,-12.18250408,20241201
Pasco,Daniel Alcides Carrion,SANTA ANA DE TUSI,12784,Abrigo Rocoso De Arumachay,2. MANIFESTACIONES CULTURALES,Sitios Arqueol?gicos,Cuevas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=12784,-76.382915,-10.493643,20241201
Lima,Huarochiri,CHICLA,12896,Mirador Virgen Inmaculada Concepci?n,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Miradores,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=12896,-76.25664,-11.65092,20241201
Loreto,Maynas,IQUITOS,316,Masato,3. FOLCLORE,Gastronom?a,Bebidas T?picas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=316,-73.2622,-3.74993,20241201
Ancash,Bolognesi,CHIQUIAN,1035,Fiesta Patronal De Santa Rosa De Lima - Chiquian,5. ACONTECIMIENTOS PROGRAMADOS,Fiestas,Fiestas religiosas-patronales,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=1035,-77.1588,-10.1519,20241201
Callao,Callao,LA PUNTA,2070,Playa Cantolao,1. SITIOS NATURALES,l. Costas,Playas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=2070,-77.16558695,-12.07020974,20241201
Arequipa,Islay,MEJIA,12312,Iglesia De La Inmaculada Concepci?n,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Iglesias,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=12312,-71.90646,-17.10229,20241201
Cajamarca,Hualgayoc,HUALGAYOC,3923,Complejo Arqueologico De Arascorgue,2. MANIFESTACIONES CULTURALES,Sitios Arqueol?gicos,Otros,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=3923,-78.53015,-6.69615,20241201
San Mart?n,Tocache,UCHIZA,3969,Catarata Velo De Plata,1. SITIOS NATURALES,j. Ca?das de agua,Cataratas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=3969,-76.596603,-8.482899,20241201
